Material,Description,Thai Desc.,Pack Size,Product Group,Shelflife (Months),Bar Code EA,Bar Code DSP,Bar Code CS
8101007,BEAR BRAND MILK STER TIN ,นมสเตอริไลส์ตราหมี 8(12x140มล.),8X(12X140 ml),STM,15,8851012010004,8850124017222,08850124017239
1151241,BEAR BRAND MILK STER TIN ,นมสดสเตอริไลส์ตราหมี 8(12x140มล.) P12,8X(12X140 ml),STM,15,8851012010004,8858705612422,18858705612436
8101008,BEAR BRAND MILK STER TIN ,นมสเตอริไลส์ตราหมี 16(6X140มล.),16X(6X140 ml),STM,15,8851012010004,8850124000033,08850124000903
1151207,BEAR BRAND MILK STER  30x150ml,นมสเตอริไลส์ตราหมี 30x150 มล,30x150ml,STM,15,8858705611241,-,18858705611255
1151215,BEAR BRAND MILK STER 12(4x150ml),นมสเตอริไลส์ตราหมี 12X(4x150 มล),12(4x150ml),STM,15,8858705611241,8858705611432,18858705611446
8101018,BEAR BRAND MILK STER LOW FAT ,นมสเตอริไลส์ตราหมี ไขมันต่ำ 8X(12X140มล),8X(12X140 ml),STM,15,8850124021991,-,08850124022035
1151242,BEAR BRAND MILK STER LOW FAT ,นมสเตอริไลส์ตราหมี ชนิดไขมันต่ำ 8X(12X140ml)P12,8X(12X140 ml),STM,15,8850124021991,8858705612484,18858705612498
8101019,BEAR BRAND MILK STER LFAT ,นมสเตอริไลส์ตราหมี ไขมันต่ำ 16X(6X140มล),16X(6X140 ml),STM,15,8850124021991,8850124022004,08850124022011
12024923,BEAR BRAND MILK STER 0% LOW FAT,นมสเตอริไลส์ตราหมี ขาดมันเนย 8X(12X140มล),8X(12X140 ml),STM,12,8858705600009,-,08858705600023
12025268,BEAR BRAND MILK STER 0% LOW FAT ,นมสเตอริไลส์ตราหมี ขาดมันเนย 16X(6X140มล),16X(6X140 ml),STM,12,8858705600009,8858705600047,08858705600054
1151090,BEAR BRAND MILK STER WITH HIGH FOLATE,นมสเตอริไลส์ตราหมี โฟเลตสูง 8X(12X140มล),8X(12X140 ml),STM,12,8858705606537,8858705606568,18858705606572
1151243,BEAR BRAND MILK STER WITH HIGH FOLATE,ผลิตภัณฑ์นมสเตอริไลส์ โฟเลตสูง (ตราหมี) 8(12X140ml) P12,8X(12X140 ml),STM,12,8858705606537,8858705612507,18858705612511
1151091,BEAR BRAND MILK STER WITH HIGH FOLATE,นมสเตอริไลส์ตราหมี โฟเลตสูง 16X(6X140มล),16X(6X140 ml),STM,12,8858705606537,8858705606544,18858705606558
12012874,BRBR GOLD STER LOW FAT MALT ,นมตราหมีโกลด์ ไวท์มอลต์ 24X140 มล,24X140 ml,BB Gold,15,8850124041517,-,08850124041555
80010,BRBR GOLD STER LFAT MALT ,นมตราหมีโกลด์ ไวท์มอลต์ 6x(4x140 มล),6x(4X140 ml),BB Gold,15,8850124041517,8850124041524,08850124041531
1151029,"BRBR GOLD LF MALT
",นมตราหมีโกลด์ ไวท์มอลต์ แพค8x6 ,6x(8x140 ml),BB Gold,15,8850124041517,8858705603512,08858705603529
12012876,BRBR GOLD STER LFAT WHITETEA ,นมตราหมีโกลด์ ชาขาว 24X140 มล,24X140 ml,BB Gold,15,8850124041487,-,08850124041548
80011,BRBR GOLD STER LFAT WHITE TEA ,นมตราหมีโกลด์ ชาขาว 6x(4X140 มล),6(4X140 ml),BB Gold,15,8850124041487,8850124041494,08850124041500
80280,BRBR GOLD STER  LFAT WHITE KIDNEY BEAN,นมตราหมีโกลด์ ถั่วขาว 24X140 มล,24X140 ml,BB Gold,15,8858705602713,-,8858705602720
80281,BRBR GOLD STER  LFAT WHITE KIDNEY BEAN,นมตราหมีโกลด์ ถั่วขาว 6x(4X140 มล),6(4X140 ml),BB Gold,15,8858705602713,8858705602737,08858705602744
1151092,BRBR GOLD STER  LFAT MILK WITH GOJI BERRY MILK POWDER & WHITE TEA BERRY,นมตราหมีโกลด์ โกจิเบอร์รี่ 24X140 มล,24X140 ml,BB Gold,15,8858705606605,-,18858705606619
1151093,BRBR GOLD STER  LFAT MILK WITH GOJI BERRY MILK POWDER & WHITE TEA BERRY,นมตราหมีโกลด์ โกจิเบอร์รี่ 6x(4X140 มล),6(4X140 ml),BB Gold,15,8858705606605,8858705606629,18858705606633
1151111,BRBR GOLD STER  LFAT MILK WITH GOJI BERRY MILK POWDER & WHITE TEA BERRY,นมตราหมีโกลด์ โกจิเบอร์รี่ 6(8X140 มล),6(8X140 ml),BB Gold,15,8858705606605,8858705607480,18858705607494
1151225,BRBR GOLD STER  LFAT MILK WITH ACEROLA CHERRY,นมตราหมีโกลด์ อะเซโรล่าเชอร์รี่ 24X140 มล,24X140 ml,BB Gold,15,8858705611593,-,18858705611606
1151226,BRBR GOLD STER  LFAT MILK WITH ACEROLA CHERRY,นมตราหมีโกลด์ อะเซโรล่าเชอร์รี่ 6x(4X140 มล),6(4X140 ml),BB Gold,15,8858705611593,8858705611616,18858705611620
12023939,CARNATION HALF CREAMER TIN  EXTRA,คาร์เนชันเอ็กซ์ตร้า 48X385 ก.,48X385 g,EVAP,9,8850124070999,-,08850124071002
1151136,CARNATION EVAPORATED CREAMER FOR COOKING & BAKERY,คาร์เนชันเอ็กซ์ตร้า 20X1 กก.,20X1 kg,EVAP,9,8858705609439,-,18858705609443
8101174,CARNATION EVP MILK TIN ,นมข้นจืดคาร์เนชัน 48X405 ก.,48X405 g,EVAP,12,8850124018205,-,08850124018212
1112148,CARNATION EVP MILK SHAPED CAN ,นมข้นจืดคาร์เนชัน 24X140 มล.,24X140 ml,EVAP,12,8858705605592,-,18858705605605
1151135,CARNATION MILK PRODUCT FOR COOKING AND BAKERY,นมข้นจืดคาร์เนชัน 20x1 กก.,20x1 kg,EVAP,12,8858705609415,-,18858705609429
1151260,CARNATION EXTRA UHT 1Ltr. ,คาร์เนชัน เอ็กซ์ตร้า 12X1L,12x1 Ltr.,EVAP,9,8858705613436,-,18858705613440
8101134,CARNATION SBC,คาร์เนชันข้นหวาน 48X388 ก.,48X388 g,SBC,9,8851012011315,-,78851012011314
12007081,CARNATION SBC POUCH  FS,คาร์เนชันข้นหวาน 8X2 กก.,8X2 kg,SBC,9,8850124037473,-,08850124037480
12007228,CARNATION SBC TIN FS,คาร์เนชันข้นหวาน 48X505 ก.,48X505 g,SBC,9,8850124037916,-,08850124037923
1113101,CARNATION SBC POUCH ,คาร์เนชันข้นหวาน 8X2กก.(แพ็คพิเศษ 2.1กก),8X2.1 KG,SBC,9,8858705614785,-,18858705614690
1112584,CARNATION PLUS SCM TUBE ,นมข้นหวานคาร์เนชันพลัส 6x(8x180ก),6x(8x180g),SCM,9,8858705607398,8858705609569,18858705609573
1112602,CTPLUS SCM 0% FAT NON FAT SWEETENED CONDENSED MILK PRODUCT (25% LESS SUGAR ADDED),นมข้นหวานคาร์เนชันพลัส 0% 6x(8x180ก),6x(8x180g),SCM,9,8858705609682,8858705609699,18858705609702
1112624,CARNATION PLUS SCM POUCH,นมข้นหวานคาร์เนชันพลัส 20X1 กก.,20X1 kg,SCM,9,8858705610329,-,18858705610333
2000102,TEAPOT SWEETENED BEVERAGE CREAMER,ครีมเทียมข้นหวาน ตราทีพอท 380 ก. x 48,48X380 g,SBC,12,8858705601167,-,48858705601172
80158,TEAPOT SWEETENED BEVERAGE CREAMER POUCH TH ,ครีมเทียมข้นหวาน ตราทีพอท ชนิดถุง 2 กก. x 8,8X2 kg,SBC,9,8858705601228,-,08858705601235
1112281,TEAPOT SWEETENED BEVERAGE CREAMER POUCH TH ,ครีมเทียมข้นหวาน ตราทีพอท ชนิดถุง 2.2 กก.x 8,8x2.2 Kg,SBC,9,8858705606667,-,18858705606671
1151204,TEAPOT SWEETENED BEVERAGE CREAMER POUCH TH ,ครีมเทียมข้นหวาน ตราทีพอท ชนิดถุง 500 ก.x 32,32x500 g,SBC,9,8858705610893,-,18858705611026
1151205,TEAPOT SWEETENED BEVERAGE CREAMER POUCH TH (7-11),ครีมเทียมข้นหวาน ตราทีพอท ชนิดถุง 500ก.x8x4,4(8x500 g),SBC,9,8858705610893,8858705611081,18858705611095
1113120,TP SBC Pouch 2.1 KG (8x2.1kg),ทีพอทข้นหวาน (แพ็คพิเศษ 2.1กก),(8x2.1kg),SBC,9,8858705615201,nan,18858705615222
1112263,CARNATION SBC Tin FS 8x(6X505 g ) (Makro),ครีมเทียมข้นหวาน ตราคาร์เนชัน 8(6x505ก.),8X(6X505g),SBC,9,8850124037916,8858705606353,18858705606367
80103,TEAPOT EXTRA HALF CREAMER TH FS,ครีมเทียมพร่องไขมัน ทีพอทเอ็กซ์ตร้า 385ก.x48,48X385 g,EVAP,9,8858705601679,-,48858705601684
1112581,TEAPOT EXTRA POUCH ,ครีมเทียมพร่องไขมัน ทีพอทเอ็กซ์ตร้า 1กก.x20,20X1 Kg,EVAP,9,8858705609392,-,18858705609405
1113018,TEAPOT EVAP MILK PRODUCT,ผลิตภัณฑ์นมปรุงอาหารเบเกอรีทีพอท 48x385G,48X385 g,EVAP,9,8858705613061,-,18858705613075
1113023,TEAPOT EXTRA EVAP CREAMER ,ครีมเทียมพร่องไขมัน ทีพอทเอ็กซ์ตร้า 12x1L,12x1000 ml,EVAP,9,8858705613023,-,18858705613037
1112577,TEAPOT SWEETENED CONDENSED MILK PRODUCT (FRESH MILK FORMULA) PACK 8,นมข้นหวาน ตราทีพอท 180 ก. x 8 x 6,6x(8X180g),SCM,9,8858705607572,8858705609286,18858705609290
1112578,TEAPOT SWEETENED CONDENSED MILK PRODUCT (CHOCOLATE FLAVORED) PACK 8,นมข้นหวาน ตราทีพอท ช็อกโกแลต 180 ก. x 8 x 6,6x(8X180g),SCM,9,8858705607541,8858705609309,18858705609313
1112996,TEAPOT SCM TUBE LOW FAT LESS SUGAR,นมข้นหวานทีพอทไขมันต่ำ ลดน้ำตาล 6x8x170g,(6x8x170g),SCM,9,8858705612682,8858705612699,18858705612702
1151045,MAGNOLIA GINKGO CHOC UHT ,นมแมกโนเลีย กิงโกะ ช็อกโกแลต 12x(4X180มล),12x(4X180 ml),Magnolia UHT,9,8858705604588,8858705604595,18858705604608
1151046,MAGNOLIA GINKGO WHITE MALT UHT,นมแมกโนเลีย กิงโกะ ไวท์มอลต์ 12x(4X180มล),12x(4X180 ml),Magnolia UHT,9,8858705604618,8858705604625,18858705604639
1151236,MAGNOLIA UHT PLAIN,นมแมกโนเลีย ยูเอชที รสจืด 12x(4x180มล.),12x(4X180 ml),Magnolia UHT,9,8858705612163,8858705612170,18858705612184
1151238,MAGNOLIA UHT CHOCOLATE,นมแมกโนเลีย ยูเอชที รสช็อกโกแลต 12x(4x18),12x(4X180 ml),Magnolia UHT,9,8858705612224,8858705612231,18858705612245
1151286,Magnolia UHT Plain 12x(4x180ml)10B.,นมแมกโนเลียยูเอชทีจืด 12x(4x180มล)10บ.,12(4x180 Ml.),Magnolia UHT,9,8858705615089,8858705615096,18858705615109
1151287,Magnolia UHT Choc 12x(4x180ml) 10B.,นมแมกโนเลีย ยูเอชที รสช็อก 12x(4x180ml)10บ.,12(4x180 Ml.),Magnolia UHT,9,8858705615119,8858705615126,18858705615130
1151292,Nutriwell UHT Oat and Quinoa 12x(4x180ml),นิวทริเวลยูเอชทีโอ๊ตควินัว 12x(4x180มล.),12x(4x180ml),NUTRISOY,9,8858705615454,8858705615461,18858705615475
1151293,Nutriwell UHT Omega Flax 12x(4x180ml),นิวทริเวลยูเอชทีโอเมกแฟล็กซ์ 180มล(4x12),12x(4x180ml),NUTRISOY,9,8858705615485,8858705615492,18858705615505
1201514,HAYOCO COOL COLA 70GX12X4 TH,ฮาโยโก้ กัมมี่ คูลโคล่า 70g x 12 x 4,70GX12X4,Gummy,18,9556296 331270,9556296 331317,09556296 331607
1201578,HAYOCO BERRY BEAR 70G X 12 X 4  TH,ฮาโยโก้ กัมมี่ เบอร์รี่ แบร์ 70g x 12 x 4,70GX12X4,Gummy,18,9556296 331263,9556296 331553,09556296 331584
1201617,HAYOCO BERRY BEAR 15G X 12 X 12 TH,ฮาโยโก้ กัมมี่ เบอร์รี่ แบร์ 15g x 12 x 12,15G X 12 X 12,Gummy,18,9556296 331256,9556296 331294,09556296 331591
1201618,HAYOCO COOL COLA 15G X 12 X 12  TH,ฮาโยโก้ กัมมี่ คูลโคล่า 15g x 12 x 12,15G X 12 X 12,Gummy,18,9556296 331249,9556296 331560,09556296 331577
1201619,HAYOCO FRUITY BEAR 15G X 12 X 12 TH,CERAVE,15G X 12 X 12,Gummy,18,9556296 331232,9556296 331310,09556296 3337875597395
